open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore,return,log_return,ema_20,ema_50,rsi_14,atr_14,volatility_20,signal
2026-03-31 05:15:00+00:00,67428.24,67495.69,67400.0,67468.11,45.12048,2026-03-31 05:19:59.999000+00:00,3043252.6627587,12744,26.1053,1760627.2188955,0,,,67468.11,67468.11,,95.69000000000233,,0
2026-03-31 05:20:00+00:00,67468.12,67624.07,67464.95,67624.06,71.44996,2026-03-31 05:24:59.999000+00:00,4825204.2576118,12223,41.14034,2778991.4324235,0,0.002311462407943443,0.002308795088193909,67482.96238095239,67474.22568627451,,100.22071428571715,,0
2026-03-31 05:25:00+00:00,67624.06,67663.7,67590.01,67613.99,89.48171,2026-03-31 05:29:59.999000+00:00,6051160.2370746,8773,49.0623,3317758.1568275,0,-0.00014891149688422978,-0.00014892258530199086,67495.44120181407,67479.70663975395,99.5057474649315,98.32566326530895,,1
2026-03-31 05:30:00+00:00,67614.0,67700.0,67570.0,67682.96,68.38983,2026-03-31 05:34:59.999000+00:00,4625619.095507,14805,43.72754,2957927.5616604,0,0.0010200551690560111,0.0010195352663050074,67513.30013497463,67487.67735976359,99.52313197853455,100.58811588921546,,1
2026-03-31 05:35:00+00:00,67682.97,67704.99,67647.64,67699.68,36.74168,2026-03-31 05:39:59.999000+00:00,2486583.0783355,11197,21.49517,1454643.4812356,0,0.00024703411316506774,0.0002470036052627591,67531.05059831038,67495.99118879247,99.5274711092747,97.4996790399862,,1
2026-03-31 05:40:00+00:00,67699.68,67715.45,67634.73,67673.56,23.88092,2026-03-31 05:44:59.999000+00:00,1615904.2633891,9943,11.90576,805543.8750723,0,-0.00038582161688205385,-0.00038589606519187457,67544.62292228082,67502.95467158493,98.02684960964747,96.30113053713013,,1
2026-03-31 05:45:00+00:00,67673.56,67758.69,67673.56,67729.13,58.06306,2026-03-31 05:49:59.999000+00:00,3932473.0024964,11355,45.37437,3073074.655336,0,0.00082114787518206,0.0008208109177142575,67562.19502492074,67511.8242923071,98.0927352959939,95.50319264162118,,1
2026-03-31 05:50:00+00:00,67731.4,67780.34,67689.6,67732.19,91.34217,2026-03-31 05:54:59.999000+00:00,6186839.7420139,9887,51.95035,3518549.0150692,0,4.517996909148003e-05,4.5178948507416334e-05,67578.38502254734,67520.46608476563,98.09650448969408,95.16296459579044,,1
2026-03-31 05:55:00+00:00,67732.19,67743.24,67659.33,67681.68,49.58597,2026-03-31 05:59:59.999000+00:00,3357349.5132797,7460,22.99321,1556744.3879819,0,-0.0007457310918193016,-0.0007460092875646976,67588.22263944759,67526.78819908855,94.76732854146462,94.35918141037709,,1
2026-03-31 06:00:00+00:00,67681.69,67711.02,67561.29,67705.27,53.09608,2026-03-31 06:04:59.999000+00:00,3591425.0005629,14719,31.47438,2129186.3499742,0,0.00034854335767087186,0.00034848263054506473,67599.37000711924,67533.7874853988,94.85514811986597,98.31423988106519,,1
